productId	name	count(o.productId)
8	Salade	151
10	Soda	790
11	Barre chocolatée	160
12	Café	1298
13	Chips	28
14	Chocolat chaud	3
15	Croissant	81
16	Demi bière	313
17	Kir	57
18	Pain au chocolat	206
20	Thé	22
21	Verre de Vin	10
23	Hot Dog	264
24	Volpi	64
25	Tralala	68
26	Gégé	61
27	Yéti	208
28	Pouch	35
29	Nono	122
30	JBG	89
31	3 fromages	81
32	Salade composées	18
33	Jambon Beurre	153
34	Mitch	222
35	Pâté	61
36	Rosette	211
37	Jambon Tartare	70
38	Pizza	61
39	Panza Cup	72
40	Croque Monsieur	476
41	Supp fromage	3
42	Supp crudité	12
43	Girafe	8
44	Eau	33
45	Grande Chips	15
46	Bueno	55
47	manque de respect	1
48	tuborg	24
49	milka	30
50	pringles	4
51	PomPote	13
52	Wrap Zorro	106
53	Desperados	24
56	Wrap Boeuf	24
57	Wrap dinde	48
